EPI_ISL_9717823,21A (Delta)
EPI_ISL_9893704,21K (Omicron)
EPI_ISL_8849027,21A (Delta)
EPI_ISL_8855335,21A (Delta)
EPI_ISL_8856778,21A (Delta)
EPI_ISL_8855395,21A (Delta)
EPI_ISL_8856413,21A (Delta)
EPI_ISL_8855182,21A (Delta)
EPI_ISL_8856268,21A (Delta)
EPI_ISL_9504836,21A (Delta)
EPI_ISL_9504846,21A (Delta)
EPI_ISL_9514114,21A (Delta)
EPI_ISL_9514131,21A (Delta)
EPI_ISL_9893699,21A (Delta)
EPI_ISL_9717974,21A (Delta)
EPI_ISL_9514096,21A (Delta)
EPI_ISL_8856472,21A (Delta)
EPI_ISL_9504879,21A (Delta)
EPI_ISL_9504875,21A (Delta)
EPI_ISL_9893690,21A (Delta)
EPI_ISL_11546230,21K (Omicron)
EPI_ISL_11546247,21K (Omicron)
EPI_ISL_11546254,21K (Omicron)
EPI_ISL_11546259,21K (Omicron)
EPI_ISL_11546265,21K (Omicron)
EPI_ISL_11546273,21K (Omicron)
EPI_ISL_11546290,21K (Omicron)
EPI_ISL_11546378,21K (Omicron)
EPI_ISL_11562883,21A (Delta)
EPI_ISL_9952631,21A (Delta)
EPI_ISL_9952886,21K (Omicron)
EPI_ISL_9952903,21K (Omicron)
EPI_ISL_9957905,21A (Delta)
EPI_ISL_9957980,21A (Delta)
EPI_ISL_9958885,21A (Delta)
EPI_ISL_11546315,21K (Omicron)
EPI_ISL_11546316,21K (Omicron)
EPI_ISL_11546320,21K (Omicron)
EPI_ISL_11546321,21K (Omicron)
EPI_ISL_11546324,21K (Omicron)
EPI_ISL_11546331,21K (Omicron)
EPI_ISL_11546333,21K (Omicron)
EPI_ISL_11546337,21K (Omicron)
EPI_ISL_11546342,21K (Omicron)
EPI_ISL_11546344,21K (Omicron)
EPI_ISL_11546347,21K (Omicron)
EPI_ISL_11546348,21K (Omicron)
EPI_ISL_11546350,21K (Omicron)
EPI_ISL_11546351,21K (Omicron)
EPI_ISL_11546360,21K (Omicron)
EPI_ISL_11546362,21K (Omicron)
EPI_ISL_11546436,21K (Omicron)
EPI_ISL_11546438,21K (Omicron)
EPI_ISL_11546441,21K (Omicron)
EPI_ISL_11546444,21K (Omicron)
EPI_ISL_11546445,21K (Omicron)
EPI_ISL_11546450,21K (Omicron)
EPI_ISL_11546452,21K (Omicron)
EPI_ISL_11546464,21K (Omicron)
EPI_ISL_11585819,21K (Omicron)
EPI_ISL_11586052,21A (Delta)
